Lookback,Horizon,Reference,Compared_Model,DM_stat,p_value,Significant_5pct,Significant_1pct
22,5,FULL,w/o_Lead_Tin,-3.3003524017356356,0.0009755847028649622,True,True
22,5,FULL,w/o_Lead_Tin_Zinc,-5.60021030471023,2.3107222135720917e-08,True,True
22,5,FULL,w/o_Lead_Zinc,0.9777267402913236,0.3282789715097909,False,False
22,5,FULL,w/o_Nickel,-0.9469717997371521,0.3437203661952033,False,False
22,5,FULL,w/o_Nickel_Tin,-6.463149271725222,1.1715073355844652e-10,True,True
22,5,FULL,w/o_Nickel_Tin_Zinc,-4.689974763372447,2.8397709661565074e-06,True,True
22,5,FULL,w/o_Nickel_Zinc,-7.313772349384236,3.2240876635114546e-13,True,True
22,5,FULL,w/o_Tin,-3.21358273696507,0.001323137053502954,True,True
22,5,FULL,w/o_Tin_Zinc,-9.072525730473975,0.0,True,True
22,5,FULL,w/o_Zinc,-3.553011401710319,0.00038601732179821546,True,True
22,10,FULL,w/o_Copper,0.8511637733117579,0.3947083154771174,False,False
22,10,FULL,w/o_Copper_Lead,8.61472698404625,0.0,True,True
22,10,FULL,w/o_Copper_Lead_Nickel,4.382163705452733,1.192700335317376e-05,True,True
22,10,FULL,w/o_Copper_Lead_Nickel_Tin,-0.6201845921303771,0.5351570191715673,False,False
22,10,FULL,w/o_Copper_Lead_Nickel_Tin_Zinc,3.3919529078034296,0.0006979150469379469,True,True
22,10,FULL,w/o_Copper_Lead_Nickel_Zinc,-8.337427731658334,2.220446049250313e-16,True,True
22,10,FULL,w/o_Copper_Lead_Tin,-9.789608121222313,0.0,True,True
22,10,FULL,w/o_Copper_Lead_Tin_Zinc,-18.984065912951507,0.0,True,True
22,10,FULL,w/o_Copper_Lead_Zinc,-14.262565150910394,0.0,True,True
22,10,FULL,w/o_Copper_Nickel,3.913747910308981,9.176039860214757e-05,True,True
22,10,FULL,w/o_Copper_Nickel_Tin,3.9432535760004557,8.118984995575396e-05,True,True
22,10,FULL,w/o_Copper_Nickel_Tin_Zinc,1.9372328574874615,0.05275819311828278,False,False
22,10,FULL,w/o_Copper_Nickel_Zinc,-1.5737087775965788,0.11560125204195848,False,False
22,10,FULL,w/o_Copper_Tin,-14.027970754165947,0.0,True,True
22,10,FULL,w/o_Copper_Tin_Zinc,-16.737421659599814,0.0,True,True
22,10,FULL,w/o_Copper_Zinc,7.289504498330647,3.461675390781238e-13,True,True
22,10,FULL,w/o_Lead,-6.935603211026882,4.417133325773648e-12,True,True
22,10,FULL,w/o_Lead_Nickel,7.238100128929094,5.049294315995212e-13,True,True
22,10,FULL,w/o_Lead_Nickel_Tin,3.9612005981302434,7.533484863464501e-05,True,True
22,10,FULL,w/o_Lead_Nickel_Tin_Zinc,2.888660479793165,0.0038810676023288693,True,True
22,10,FULL,w/o_Lead_Nickel_Zinc,6.043579095370505,1.5869090486120285e-09,True,True
22,10,FULL,w/o_Lead_Tin,-7.631167517110074,2.6423307986078726e-14,True,True
22,10,FULL,w/o_Lead_Tin_Zinc,-8.949970699859492,0.0,True,True
22,10,FULL,w/o_Lead_Zinc,4.598917850174342,4.323677930129222e-06,True,True
22,10,FULL,w/o_Nickel,1.134364394027762,0.256681661519234,False,False
22,10,FULL,w/o_Nickel_Tin,5.553582597692099,2.9043757177049656e-08,True,True
22,10,FULL,w/o_Nickel_Tin_Zinc,7.112129115368112,1.2592149545298525e-12,True,True
