Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Copper_Tin,10,10,54.65459442138672,72.94396661564957,2.2415097802877426,2.2405819967389107,0.06329194770200645,0.4909810822701276,20.301714446395636,491.54524064064026,0.0011283655670031774,4410,0.01682281494140625,15776.0
w/o_Copper_Zinc,10,10,58.728206634521484,78.08647800275666,2.3845797404646873,2.3963473737239838,0.06775399495619233,0.4767561225986215,21.540462458506227,423.6252691745758,0.0013876849255603778,4410,0.01682281494140625,15776.0
w/o_Copper_Nickel,10,10,54.02710723876953,72.51992587170439,2.2129032760858536,2.215246297419071,0.06292401559957966,0.4912743804076844,20.035366900265217,495.99327850341797,0.0013420302147739444,4410,0.01682281494140625,15776.0
w/o_Lead,10,10,56.98899459838867,75.72231922561703,2.319524809718132,2.327132038772106,0.06570266425738877,0.47411643936061004,20.96826178021729,393.05909299850464,0.001631705292508749,4410,0.01682281494140625,20032.0
w/o_Tin,10,10,57.61970138549805,76.59520028716715,2.332248166203499,2.350960113108158,0.06646004302382723,0.4792491567678545,21.092165121808648,482.31959199905396,0.0013847592289496728,4410,0.01682281494140625,20032.0
w/o_Zinc,10,10,55.45048141479492,73.46026907664101,2.2764941677451134,2.274106815457344,0.06373992721325916,0.48144889279953074,20.574611937627196,372.6399965286255,0.0015249961981675492,4410,0.01682281494140625,20032.0
w/o_Nickel,10,10,55.627071380615234,74.23487324869626,2.2628458216786385,2.2741541266441345,0.0644120354973054,0.4999266754656108,20.479590026661754,421.770968914032,0.0014668489830934406,4410,0.01682281494140625,20032.0
w/o_Copper,10,10,54.9089241027832,72.87244045676664,2.2524412721395493,2.2513894364237785,0.06322988646666548,0.47851591142396244,20.35191929899156,512.6120131015778,0.0019284626605573637,4410,0.01682281494140625,20032.0
FULL,10,10,56.12205505371094,75.46729100556578,2.2869590669870377,2.2988511249423027,0.06548138202658957,0.486874908344332,20.682626543566585,398.06318974494934,0.0015605985244348253,4410,0.01682281494140625,24480.0
w/o_Copper_Lead_Nickel_Tin_Zinc,10,22,78.57180786132812,104.90737171726781,3.188508376479149,3.2318349927663803,0.09102591889023515,0.48761764902209465,67.25995014421642,391.1859562397003,0.0010121320312768878,4614,0.01760101318359375,4352.0
w/o_Lead_Nickel_Tin_Zinc,10,22,73.48282623291016,98.58078361647111,3.012196160852909,3.0148738995194435,0.08553646857205796,0.48281156131099395,63.32973465323448,244.64619731903076,0.001028555255279317,4614,0.01760101318359375,8032.0
w/o_Copper_Lead_Tin_Zinc,10,22,116.75292205810547,144.01618018906765,4.6184685081243515,4.754729196429253,0.12495980417909426,0.4881516587677725,97.04499449580908,200.03690719604492,0.001450079653231583,4614,0.01760101318359375,8032.0
w/o_Copper_Lead_Nickel_Tin,10,22,72.23505401611328,97.9874184764937,2.9896382242441177,2.9710840433835983,0.08502162180339948,0.48801815633135304,62.97316048294306,404.58892250061035,0.0015370838792663664,4614,0.01760101318359375,8032.0
w/o_Copper_Lead_Nickel_Zinc,10,22,75.87618255615234,102.29976153900604,3.085464797914028,3.1090281903743744,0.0887633482959937,0.48801815633135304,64.84120637178421,232.6380169391632,0.00106326458912764,4614,0.01760101318359375,8032.0
w/o_Copper_Nickel_Tin_Zinc,10,22,83.34808349609375,109.50532860179682,3.3630963414907455,3.4039754420518875,0.09501546665282666,0.4850143515119151,70.83858009427786,264.12415385246277,0.0014646858545827096,4614,0.01760101318359375,8032.0
w/o_Lead_Tin_Zinc,10,22,82.93956756591797,107.14847139308614,3.3609163016080856,3.38926762342453,0.09297047116492671,0.5017021560643482,70.75057197362185,191.71884894371033,0.0016676647897683927,4614,0.01760101318359375,11904.0
w/o_Lead_Nickel_Tin,10,22,75.34610748291016,100.58542991376783,3.0665362253785133,3.0861712992191315,0.08727585798747621,0.47600293705360125,64.57363562658429,394.76796102523804,0.0018473193158837318,4614,0.01760101318359375,11904.0
w/o_Lead_Nickel_Zinc,10,22,71.55301666259766,97.84787698897713,2.9353996738791466,2.9398219659924507,0.08490054447066493,0.48795140511314333,61.79562951438129,284.8255970478058,0.0016361172153736177,4614,0.01760101318359375,11904.0
w/o_Nickel_Tin_Zinc,10,22,77.01970672607422,101.56208172990794,3.1902723014354706,3.170650452375412,0.08812328015904616,0.48674988318536816,67.01627485454082,231.64824771881104,0.0015287241746675601,4614,0.01760101318359375,11904.0
w/o_Copper_Lead_Tin,10,22,89.87193298339844,115.12901221293006,3.615197539329529,3.666103258728981,0.09989502217919596,0.4898204392230158,76.00912190973759,271.1215434074402,0.004173949601541707,4614,0.01760101318359375,11904.0
w/o_Copper_Lead_Zinc,10,22,81.0374526977539,106.31491123808786,3.280520811676979,3.312521055340767,0.09224721118322932,0.4784727321273613,69.0736644435674,411.2927646636963,0.0014229993638138064,4614,0.01760101318359375,11904.0
w/o_Copper_Tin_Zinc,10,22,114.92449188232422,143.0210116228556,4.552488401532173,4.673337563872337,0.12409632221478434,0.4866163807489487,95.69021333009005,211.16971802711487,0.0015496349894877923,4614,0.01760101318359375,11904.0
w/o_Copper_Lead_Nickel,10,22,75.98976135253906,101.84713959532688,3.088088147342205,3.1149370595812798,0.08837061817889093,0.48000801014618516,65.03673074766994,315.09674167633057,0.001051231978048137,4614,0.01760101318359375,11904.0
w/o_Copper_Nickel_Tin,10,22,76.63702392578125,102.85294132431265,3.117509186267853,3.142452612519264,0.08924333485501959,0.4770042053267472,65.63844899646938,310.2927289009094,0.001348872891956839,4614,0.01760101318359375,11904.0
w/o_Copper_Nickel_Zinc,10,22,82.28653717041016,108.17612591856856,3.316418081521988,3.3589497208595276,0.09386214713471047,0.4798745077097657,69.80274375528097,276.0198173522949,0.0013105631224734492,4614,0.01760101318359375,11904.0
